tod_slot,load_kwh,solar_kwh,wind_kwh,total_re_kwh,excess_kwh,grid_kwh,grid_rate,days,grid_cost_rs,re_percent
A,2190000,0,0,0,0,2190000,82.08,365.0,14979600,0.0
C,1095000,492530,0,492530,10815,613285,109.92,365.0,5617691,44.98
B,2920000,3856460,0,3856460,1097379,160919,75.6,365.0,1013790,132.07
D,2555000,75597,0,75597,0,2479403,113.52000000000001,365.0,23455152,2.96
Total,8760000,4424587,0,4424587,1108194,5443607,,,45066233,50.51
