tod_slot,load_kwh,solar_kwh,wind_kwh,total_re_kwh,excess_kwh,grid_kwh,grid_rate,days,grid_cost_rs,re_percent
A,2190000,0,0,0,0,2190000,82.08,365.0,14979600,0.0
C,1095000,467098,0,467098,3673,631575,109.92,365.0,5785227,42.66
B,2920000,3821989,0,3821989,1090511,188522,75.6,365.0,1187689,130.89
D,2555000,61999,0,61999,0,2493001,113.52000000000001,365.0,23583789,2.43
Total,8760000,4351086,0,4351086,1094184,5503098,,,45536305,49.67
