tod_slot,load_kwh,solar_kwh,wind_kwh,total_re_kwh,excess_kwh,grid_kwh,grid_rate,days,grid_cost_rs,re_percent
A,2190000,0,0,0,0,2190000,82.08,365.0,14979600,0.0
C,1095000,0,0,0,0,1095000,109.92,365.0,10030200,0.0
B,2920000,0,0,0,0,2920000,75.6,365.0,18396000,0.0
D,2555000,0,0,0,0,2555000,113.52000000000001,365.0,24170300,0.0
Total,8760000,0,0,0,0,8760000,,,67576100,0.0
