tod_slot,load_kwh,solar_kwh,wind_kwh,total_re_kwh,excess_kwh,grid_kwh,grid_rate,days,grid_cost_rs,re_percent
A,2190000,0,1099743,1099743,0,1090257,82.08,365.0,7457358,50.22
C,1095000,0,468655,468655,0,626345,109.92,365.0,5737320,42.8
B,2920000,0,1094691,1094691,0,1825309,75.6,365.0,11499447,37.49
D,2555000,0,1223629,1223629,0,1331371,113.52000000000001,365.0,12594770,47.89
Total,8760000,0,3886718,3886718,0,4873282,,,37288894,44.37
